host,process,step_number,step_dates,step_title,step_description
https://wb1170.monopinion.belgium.be,budget,4,01/03/2020 - 15/03/2020,Etudes de faisabilité,"Un Comité d’évaluation se réunira pour étudier la faisabilité des projets, et l’estimation des coûts de chaque projet."
https://wb1170.monopinion.belgium.be,budget,5,01/05/2020 - 31/05/2020,Votes,Les projets soumis au vote suite à l’étude de faisabilité.
https://wb1170.monopinion.belgium.be,budget,6,03/06/2020 - 01/07/2021,Suivez la réalisation,"La commune de Watermael-Boitsfort vient de franchir un cap en permettant aux habitantes, aux habitants, et aux associations de participer activement et concrètement dans la vie de leur quartier. Vous avez été 1.099 à voter, une belle mobilisation pour cette première édition ! En indiquant vos projets préférés, c’est vous qui avez choisi les priorités à donner en 2020 pour l’attribution d’une partie du budget communal. Merci à vous toutes et tous, qui avez proposé de chouettes projets et qui avez participé à sélectionner ceux qui seront mis en œuvre. Sur 39 projets proposés, 2 Projets Phare et 9 Projets Coups de Pouces sont sélectionnés : Projets Phare (seront mis en œuvre par la Commune)·      Création de puits de CO2 - reboisement des espaces disponibles [245 votes]·      Les premiers dimanches du mois sans voitures à Watermael-Boitsfort [201 votes] Projets Coups de pouce (seront mis en œuvre par les proposants)·      « Alimentation - Hygiène » : soutien aux migrants et demandeurs d’asile [411 votes]·      Une commune hospitalière et des soins de santé de proximité [364 votes] ·      « Santé - Transports - Gaz/Elec » : soutien aux migrants et demandeurs d’asile [362 votes]·      La Prairie-Verger du Rouge Gorge [333 votes]·      Panneaux poétiques [332 votes]·      Kosun: Installation photovoltaïque sur la dalle de Boitsfort [264 votes]·      Disposer d'une grande salle pour des animations [222 votes]·      Une équipe de foot en salle à W-B ? Oui ça existe ! [205 votes]·      Des séances bien-être pour toutes et tous à Watermael-Boitsfort [183 votes]·      Philosophie pour toutes et tous (enfants, ados, adultes) [165 votes] La mise en œuvre des projets débutera en 2020 et sera consultable sur https://wb1170.monopinion.belgium.be"
https://www.decidim.barcelona,PressupostosParticipatius,1,03-02-2020 - 22-05-2020,,"Fase destinada al debat i a la recollida de projectes d’inversió del pressupost participatiu. Podràs presentar projectes d’inversió a través d’espais presencials (trobades sectorials o territorials, punts mòbils de participació a l’espai públic) i de la pròpia plataforma. Cada persona o entitat podrà presentar un màxim de tres projectes d’inversió."
https://www.decidim.barcelona,PressupostosParticipatius,2,23-05-2020 - 31-08-2020,,"*	El plantejament i el nou calendari de les fases del procés es concretaran quan es recuperi l'activitat habitual a la ciutat.Els projectes rebuts a la fase anterior, passaran una valoració tècnica, per garantir que compleixen tots els requisits i que són viables tècnicament.És important remarcar que els projectes del pressupost participatiu no són avaluats políticament en cap moment del procés, però sí que s’apliquen un seguit de criteris tècnics, que es concreten en:Han de ser comprensible i viable tècnicament.Han de ser quantificable econòmicament i complir els llindars econòmics.Han de respectar el marc jurídic i legal existent.Han de ser d’àmbit d’actuació municipal.Han de ser d'interès general i vincular-se, com a mínim, a un eix del PAM.Han de tenir el seu àmbit d'incidència en un districte.Han de ser un projecte finalista que inici la seva execució en l’actual mandat.Han de ser un projecte sostenible des d'un punt de vista ambiental.No han de ser contraris a polítiques, programes, plans, projectes urbanístics aprovats o convenis firmats per l'Ajuntament de Barcelona.No han de ser contraris als drets i llibertats individuals i col·lectius ni contrari als valors democràtics i els drets humans.No poden vincular o condicionar la seva execució a un proveïdor concret.Els projectes que facin referència a equipaments han de ser coherents amb l'orientació, el projecte i el programa funcional de l’equipament.Els projectes d'intervenció i millora de l'espai públic han de ser adequats tècnicament pel que fa a l'impacte sonor que pugui produir el seu ús, especialment si pot afectar el descans del veïnat."
https://www.decidim.barcelona,PressupostosParticipatius,3,? - ?,,"*	El plantejament i el nou calendari de les fases del procés es concretaran quan es recuperi l'activitat habitual a la ciutat.Un cop feta la valoració tècnica, aquells projectes viables podran rebre suports dels veïns i les veïnes durant aquesta fase. Si tens compte d’usuària a la plataforma decidim.barcelona, tens més de 14 anys i estàs empadronada a Barcelona podràs donar suport a un mínim de 2 projectes i un màxim de 10, sense limitació territorial. Els 30 projectes amb més suports de cada districte són els que passen a la següent fase.En el cas que els 30 projectes amb més suports no sumin 1,5 vegades el pressupost disponible del districte, es prioritzaran més projectes (seguint ordre de suports) fins a arribar a aquesta quantitat."
https://www.decidim.barcelona,PressupostosParticipatius,4,? - ?,,"*	El plantejament i el nou calendari de les fases del procés es concretaran quan es recuperi l'activitat habitual a la ciutat.Aquells projectes que hagin rebut més suports per a cadascun dels districtes, passaran a la fase de concreció. Durant aquest fase es treballaran més a fons els projectes, a través de sessions de treball amb els promotors dels projectes, les persones i col·lectius que han mostrat interès, i personal municipal."
https://www.decidim.barcelona,PressupostosParticipatius,5,? - ?,,"*	El plantejament i el nou calendari de les fases del procés es concretaran quan es recuperi l'activitat habitual a la ciutat.A la fase de votació, la ciutadania pot escollir els projectes que finalment s’executaran a cada districte. Si tens compte d’usuària a la plataforma decidim.barcelona, tens més de 14 anys i estàs empadronada a Barcelona, podràs votar els projectes de com a màxim 2 districtes de la ciutat: un serà el del teu empadronament i l’altre el pots escollir. Si només votes a un, tu tries quin és.A cada districte, pots votar tants projectes com consideris oportú, a partir d’un mínim de 3, i fins a exhaurir la dotació pressupostària assignada al districte. No obstant això, per a emetre el vot no cal que esgotis tota la dotació pressupostària assignada.Per garantir un equilibri territorial entre els barris d’un districte, un cop finalitzada la votació, se seleccionarà el projecte més votat en un mínim de 2 barris per cada districte (excepte en el cas de Sants-Montjuic, Horta-Guinardó, Nou Barris i Sant Martí, que seran com a mínim 3 barris). En segon lloc, se seleccionaran els projectes per ordre de més a menys vots, fins a exhaurir l’import assignat al districte."
https://www.decidim.barcelona,PressupostosParticipatius,6,? - ?,,"*	El plantejament i el nou calendari de les fases del procés es concretaran quan es recuperi l'activitat habitual a la ciutat.Al retorn s’informa i es difonen els resultats del procés participatiu. Aquesta tasca d’informació es realitzarà a través dels espais i òrgans de participació de la ciutat que es considerin oportuns, així com a través de decidim.barcelona."
https://www.decidim.barcelona,PressupostosParticipatius,7,? - ?,,*	El plantejament i el nou calendari de les fases del procés es concretaran quan es recuperi l'activitat habitual a la ciutat.Es realitza un seguiment i una avaluació regular del desenvolupament dels compromisos establerts durant el procés participatiu. Les Comissions d’impuls (una per districte) seran les encarregades de fer el seguiment de l’execució dels projectes seleccionats en el pressupost participatiu.
https://decidim-calaf.diba.cat,pressupostosparticipatiuscalaf2020,1,25-10-2019 - 30-11-2019,PROPOSTES,La fase de proposta és el moment de pensar en quines propostes els ciutadans invertirien 60.000€
https://decidim-calaf.diba.cat,pressupostosparticipatiuscalaf2020,2,09-12-2019 - 31-12-2019,VALIDACIÓ TÈCNICA,Les propostes aportades pels tecnics municipals i les propostes de la ciutadania  passaran a ser valorades tècnicament en funció dels criteris prèviament establerts:La valoració tècnica de les propostes anirà a càrrec dels responsables dels serveis municipals de l’àmbit corresponent.
https://decidim-calaf.diba.cat,pressupostosparticipatiuscalaf2020,3,10-01-2020 - 03-02-2020,VOTACIÓ,"Durant 3 setmanes, les persones més grans de 16 anys i empadronades a Calaf, podran votar quines de les 12 propostes finalistes decideixen destinar-hi els 60.000 euros del pressupost d’inversions. Cada ciutadà/na podrà votar totes les propostes que consideri, sempre i quan la suma dels seus imports no superi els 60.000 euros.Les propostes més votades, sempre i quan la suma dels seus imports no superi el destinat als pressupostos participatius, seran les escollides per incorporar al pressupost municipal i ser executades durant l’any 2020.La votació es podrà fer a la plataforma decidim-calaf.diba.cat o de manera presencial mitjançant la mateixa plataforma als locals habilitats."
https://decidim-calaf.diba.cat,pressupostosparticipatiuscalaf2020,4,04-02-2020 - 11-02-2020,RETORN,"Durant tot el procés i en cadascuna de les seves fases, s’anirà informant dels resultats d’aquestes, amb retorns parcials quantitatius i complerts al final de tot el procés."
https://decidim.calafell.cat,pressupostos-participatius-2020,1,29-07-2019 - 30-07-2019,,Reglament Pressupostos Participatius
https://decidim.calafell.cat,pressupostos-participatius-2020,2,02-09-2019 - 15-09-2019,,Presentació Propostes
https://decidim.calafell.cat,pressupostos-participatius-2020,3,16-09-2019 - 27-09-2019,,Valoració Propostes
https://decidim.calafell.cat,pressupostos-participatius-2020,4,07-10-2019 - 20-10-2019,,Votació Propostes
https://decidim.calafell.cat,pressupostos-participatius-2020,5,21-10-2019 - 31-10-2019,,Resultat Votació Propostes
https://decidim.calafell.cat,pressupostos-participatius-2020,6,01-11-2019 - 31-12-2019,,Dotació Econòmica
https://decidim.calafell.cat,pressupostos-participatius-2021,1,14-05-2020 - 23-07-2020,,Reglament Pressupostos Participatius
https://decidim.calafell.cat,pressupostos-participatius-2021,2,01-08-2020 - 30-08-2020,,Presentació Propostes
https://decidim.calafell.cat,pressupostos-participatius-2021,3,01-09-2020 - 28-09-2020,,Valoració Propostes
https://decidim.calafell.cat,pressupostos-participatius-2021,4,05-10-2020 - 26-10-2020,,Votació Propostes
https://decidim.calafell.cat,pressupostos-participatius-2021,5,01-11-2020 - 30-11-2020,,Resultat Votació Propostes
https://decidim.calafell.cat,pressupostos-participatius-2021,6,01-12-2020 - 31-12-2020,,Dotació Econòmica
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem2020,1,07-01-2020 - 30-01-2020,Informació del procés,"En aquesta fase es presentarà públicament el procés de Pressupostos Participatius Joves, i s’inicia la campanya informativa per difondre els seus objectius i canals de participació entre la ciutadania. La campanya de difusió inclou: reunions informatives, díptics, cartells, banderoles i punts d’informació itinerants."
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem2020,2,30-01-2020 - 24-02-2020,Recull de propostes,"Les propostes es poden presentar en dues categories: Projectes particulars i Projectes col·lectius. Les propostes de projectes particulars es presenten per part de la ciutadania jove del municipi de 14 a 29 anys de forma individual, com a màxim cada persona jove del municipi pot presentar fins a dues propostes. Les propostes de projectes col·lectius es presenten a partir d’entitats, grups, organitzacions, plataformes, xarxes o altres formes d’acció col·lectiva tinguin o no personalitat jurídica. Aquests col·lectius han d’estar format per persones joves del municipi de 14 a 29 anys. La proposta es registrarà per part d’una persona jove però, a nom del col·lectiu en qüestió. Com a màxim cada col·lectiu pot presentar fins a dues propostes. Les propostes han de ser activitats obertes de transformació social al territori, per tant, no poden ser activitats internes dels col·lectius.Els i les joves particulars (individualment) podran presentar propostes només a la categoria de projectes particulars i els col·lectius o entitats podran presentar propostes només a la  categoria de projectes col·lectius. Les propostes s’hauran de presentar en format digital a la pàgina web del procés. En aquesta pàgina del procés es trobarà el document “Fitxa per l’elaboració de propostes” que amb posterioritat s’haurà de emplenar (obligatòriament) i annexar a la proposta. L’emplenament d’aquesta fitxa es podrà realitzar en el marc d’alguna de les sessions previstes per aquest efecte en les que les persones participants rebran suport per al seu emplenament."
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem2020,3,24-02-2020 - 04-05-2020,Validació tècnica i econòmica de les propostes,"En aquesta fase la Comissió Tècnica recull, classifica, redefineix i valida les propostes presentades per la ciutadania jove. La validació es fa comprovant que la proposta reuneix totes les condicions recollides als criteris de propostes. La Comissió Tècnica pot, en aquesta fase, unificar propostes semblants i connectar a les persones que liderin aquestes mateixes propostes."
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem2020,4,04-05-2020 - 22-05-2020,Votació de les propostes,"Les propostes validades i quantificades es penjaran a la plataforma. Totes les persones joves del municipi podran votar les propostes de manera virtual fins a exhaurir el crèdit disponible, per tan; de la categoria ‘projectes particulars’, podran votar una o varies propostes sempre que el sumatori d’aquestes no excedeixi els 3.000 €; i de la categoria ‘projectes col·lectius’, també podran votar una o varies propostes sempre que el sumatori d’aquestes no excedeixi 7.000 €."
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem2020,5,22-05-2020 - 26-05-2020,Presentació dels resultats i avaluació del procés,La presentació dels resultats es realitzarà a través de la pàgina del procés dins de la plataforma Decidim. S’elaborà un informe d’avaluació dels resultats del procés.
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem2020,6,26-05-2020 - 31-12-2020,Execució i seguiment de les propostes,[L'execució de les propostes guanyadores estarà subjecte a l'evolució de l'estat d'alarma i les mesures de desconfinament marcades] En aquesta fase les persones referents de les propostes amb el suport del Departament de joventut definiran l’execució de les propostes i col·laboraran en la implementació d'aquestes.
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem,1,14-12-2018 - 15-01-2019,Informació del procés,"En aquesta fase es presentarà públicament el procés de Pressupostos Participatius Joves, i s’inicia la campanya informativa per difondre els seus objectius i canals de participació entre la ciutadania. La campanya de difusió inclou: reunions informatives, díptics, cartells, banderoles, punts d’informació itinerants i un espai específic a la pàgina web."
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem,2,14-12-2018 - 28-02-2019,Recull de propostes,Les propostes es presenten per part de la ciutadania jove del municipi de forma individual. Com a màxim cada persona jove del municipi pot presentar fins a dues propostes. Es limita la presentació de propostes dins de cada categoria de propostes segons els col·lectius d’edat. Els i les joves d’entre 14 i 18 anys podran presentar propostes només per aquesta categoria i els i les joves d’entre 19-29 anys podran presentar propostes només per aquesta categoria; ja que les propostes impliquen l’execució de les mateixes per part de la persona que ha realitzat la proposta un cop seleccionades.Les propostes s’hauran de presentar en format digital a la pàgina web del procés. En aquesta pàgina del procés es trobarà el document “Fitxa per l’elaboració de propostes” que amb posterioritat s’haurà de complimentar (d’obligada complimentació) i annexar a la proposta. La complimentació d’aquesta fitxa es podrà realitzar en el marc d’alguna de les sessions previstes per aquest efecte en les que les persones participants rebran suport per a la seva complimentació.
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem,3,07-01-2019 - 08-03-2019,Validació tècnica i econòmica de les propostes,"En aquesta fase la Comissió Tècnica recull, classifica i valida les propostes presentades per la ciutadania jove. La validació es fa comprovant que la proposta reuneix totes les condicions recollides als criteris de propostes."
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem,4,01-02-2019 - 08-03-2019,Redefinició de les propostes,"En aquesta fase, es desenvoluparà un taller obert de redefinició de les propostes. En aquest cada persona presenta la seva proposta i es debaten, agrupen, re-elaboren les propostes de forma consensuada. L’objectiu és que les propostes que es portin a votació en la següent fase es construeixin a partir de la deliberació conjunta. Les persones presentants de propostes hauran de participar en alguns dels tallers de redefinició de propostes.Un cop s’hagin redefinit les propostes aquestes seran validades per la Comissió Tècnica. Aquestes propostes seran presentades en un taller pels propis joves on es prioritzaran les mateixes per tal de passar al procés de votació. Les persones presentants de propostes hauran de participar en el taller de priorització de propostes.El dia de la priorització si hi ha algun sobrant de diners podrà ser redistribuït en altres projectes d’altres franges d’edat."
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem,5,13-03-2019 - 30-03-2019,Votació de les propostes,Les propostes prioritzades es penjaran a la plataforma. Totes les persones joves del municipi podran votar les propostes finalistes de manera virtual fins a exhaurir el crèdit disponible.
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem,6,31-03-2019 - 01-04-2019,Presentació dels resultats i avaluació del procés,La presentació dels resultats es realitzarà a la pàgina del procés dins de la plataforma Decidim. S’elaborà un informe d’avaluació dels resultats del procés.
https://decidim-castellbisbal.diba.cat,elsilesjovesvolem,7,01-04-2019 - 31-12-2019,Execució i seguiment de les propostes,En aquesta fase les persones referents de les propostes amb el suport del servei de joventut definiran l’execució de les propostes i col·laboraran en la implementació de les mateixes.
https://decideix.esparreguera.cat,pressupostos2018,1,08-01-2018 - 02-02-2018,Informació i presentació,"El dissabte 3 de febrer de 2018 es durà a terme una jornada participativa amb la ciutadania en la qual s’explicaran les fases del procés, el calendari d’execució, els àmbits d’actuació, les eines i canals per participar activament i el model de fitxa amb els continguts que cal omplir a l’hora de realitzar una proposta (veure trobada). Del dissabte 3 de febrer al dijous 31 de maig es disposarà d’un punt d’informació i participació presencial en l’Oficina d’Atenció Ciutadana de l’Ajuntament d’Esparreguera (més informació)."
https://decideix.esparreguera.cat,pressupostos2018,2,03-02-2018 - 05-03-2018,Recollida de propostes,"Les propostes d'inversió es presentaran principalment via telemàtica mitjançant la plataforma web decideix.esparreguera.cat. Excepcionalment, es podrà presentar de manera presencial a l’Oficina d’Atenció Ciutadana de l’Ajuntament d’Esparreguera.Les propostes d'inversió hauran d’acomplir els requisits recollits a les bases reguladores."
https://decideix.esparreguera.cat,pressupostos2018,3,06-03-2018 - 22-04-2018,Valoració de propostes,Les propostes presentades seran valorades tècnicament. La comissió tècnica comprovarà l’acompliment dels criteris fixats a les bases i la viabilitat tècnica de les propostes aportades. Les propostes d'inversió que siguin informades favorablement passaran a la fase de votació final.
https://decideix.esparreguera.cat,pressupostos2018,4,23-04-2018 - 09-05-2018,Publicació de les propostes acceptades,Les propostes que hagin estat acceptades a la fase de valoració es publicaran a la plataforma web decideix.esparreguera.cat.
https://decideix.esparreguera.cat,pressupostos2018,5,10-05-2018 - 24-05-2018,Votació de propostes,"Les persones més grans de 16 anys que estiguin empadronades a la vila d’Esparreguera i s'hagin inscrit a la plataforma web decideix.esparreguera.cat podran participar amb el seu vot.La votació es farà de manera telemàtica mitjançant la plataforma web decideix.esparreguera.cat. Això no obstant, s'habilitarà un ""punt de votació"" amb accés a internet a l’Oficina d’Atenció Ciutadana de l’Ajuntament d’Esparreguera (veure ubicació i horari)."
https://decideix.esparreguera.cat,pressupostos2018,6,25-05-2018 - 31-05-2018,Selecció de propostes,"Les propostes votades s’ordenaran de més a menys votació i s'aniran acceptant propostes fins arribar al pressupost total de 200.000 euros. Si en acceptar una proposta se supera l'import total es passa a seleccionar la següent, fins a exhaurir els 200.000 euros.El resultat final de les votacions i les propostes que hagin estat seleccionades es publicaran a la plataforma web decideix.esparreguera.cat."
https://decideix.esparreguera.cat,pressupostos2018,7,01-06-2018 - 31-03-2019,Execució obres de les propostes guanyadores,El procés d’execució de les propostes seleccionades començarà durant l'any 2018. L'acabament de l’execució de les propostes guanyadores no necessàriament coincidirà amb l’any del pressupost. Es podrà seguir el procés mitjançant la plataforma web decideix.esparreguera.cat.
https://decideix.esparreguera.cat,pressupostos2020-2021,1,20-01-2020 - 06-02-2020,Informació i presentació,"El dimecres dia 5 de febrer de 2020 es durà a terme una jornada participativa amb la ciutadania en la qual s’explicaran les fases del procés, el calendari d’execució, els àmbits d’actuació, les eines i canals per participar activament i el model de fitxa amb els continguts que cal omplir a l’hora de realitzar una proposta (veure trobada).Programa de la jornada de presentació i participativa dels Pressupostos Participatius 2020-2021.Del dijous dia 6 de febrer al dilluns 25 de maig es disposarà d’un punt d’informació i participació presencial en l’Oficina d’Atenció Ciutadana de l’Ajuntament d’Esparreguera (més informació)."
https://decideix.esparreguera.cat,pressupostos2020-2021,2,06-02-2020 - 08-03-2020,Presentació de propostes,"Les propostes d'inversió es presentaran principalment via telemàtica mitjançant la plataforma web decideix.esparreguera.cat. Excepcionalment, es podrà presentar de manera presencial a l’Oficina d’Atenció Ciutadana de l’Ajuntament d’Esparreguera.Les propostes d'inversió hauran d’acomplir els requisits recollits a les bases reguladores."
https://decideix.esparreguera.cat,pressupostos2020-2021,3,09-03-2020 - 01-05-2020,Valoració de propostes,Les propostes presentades seran valorades tècnicament. La comissió tècnica comprovarà l’acompliment dels criteris fixats a les bases i la viabilitat tècnica de les propostes aportades. Les propostes d'inversió que siguin informades favorablement passaran a la fase de votació final.Dins d'aquest periode s'establira un periode d'esmenes per aquelles propostes reailtzades i que la Comissió Tècnica cregui oportu que la seva autora l'hagi d'esmenar per poder ser acceptada.
https://decideix.esparreguera.cat,pressupostos2020-2021,4,02-05-2020 - 17-05-2020,Presentació d'esmenes.,"Aquesta informació només es farà arribar a través de la plataforma ""decideix.esparreguera.cat"", mitjançant CONVERSA directa amb les autores i els autors de les propostes que la Comissió Tècnica ha valorat esmenar o agrupar. Les autores i els autors de les propostes, rebreu al vostre perfil de la plataforma la informació relativa a ""esmenes de propostes"" o a ""agrupació de propostes"".Aquesta informació la trobareu obrint la sessió i al costat esquerre del nom d'alies trobareu un sobre ""clickeu"" damunt d'ell i trobareu la CONVERSA oberta amb la informació requerida.Recordeu que el termini tant d'esmenes com d'agrupacions de propostes finalitza el proper dia 17 de maig de 2020.La resposta de les esmenes es pot fer a traves de resposta a la CONVERSA oberta i si es necessari afegir document enviar-ho al mail decideix@esparreguera.catLa resposta a les agrupacions es pot fer directament com a resposta de la CONVERSA oberta."
https://decideix.esparreguera.cat,pressupostos2020-2021,5,18-05-2020 - 20-05-2020,Revisió d'esmenes,"Les esmenes aportades per les autores de les propostes seran revisades de nou per acceptar o rebutjar la proposta de manera definitiva, segons les Bases Reguladores dels pressupostos participatius 2020-2021"
https://decideix.esparreguera.cat,pressupostos2020-2021,6,20-05-2020 - 21-05-2020,Publicació de les propostes admeses,Les propostes que hagin estat acceptades a la fase de valoració es publicaran a la plataforma web decideix.esparreguera.cat
https://decideix.esparreguera.cat,pressupostos2020-2021,7,22-05-2020 - 07-06-2020,Priorització dels projectes,"Les persones més grans de 16 anys que estiguin empadronades a la vila d’Esparreguera i s'hagin inscrit a la plataforma web decideix.esparreguera.cat podran participar amb el seu vot.Les votacions seran vàlides quan, com a mínim, sumin el 70% del total del pressupost del procés. La votació es farà de manera telemàtica mitjançant la plataforma web decideix.esparreguera.cat."
https://decideix.esparreguera.cat,pressupostos2020-2021,8,07-06-2020 - 08-06-2020,Publicació dels projectes escollits,"Els projectes escollits  s’ordenaran de més a menys votació i s'aniran acceptant projectes fins arribar al pressupost total de 200.000 euros. Si en acceptar una proposta se supera l'import total es passarà a seleccionar la següent, fins a exhaurir els 200.000 euros.El resultat final de les votacions i els projectes que hagin estat seleccionats es publicaran a la plataforma web decideix.esparreguera.cat."
https://decideix.esparreguera.cat,pressupostos2020-2021,9,09-06-2020 - 31-12-2020,Avaluació del procés,"A la finalizació del procés es fa una enquesta a totes les participants.Aquesta enquesta estarà disponible per omplir-la des del dia 9 de juny del 2020 fins el proper dia 21 de juny de 2020.Esperem les vostres aportacions mitjançant el compliment d'aquesta enquesta, per intentar millorar aspectes i poder-los avalauar per aplicar-los a la propera edició."
https://decideix.esparreguera.cat,pressupostos2020-2021,10,? - 31-12-2021,Execució del projectes seleccionats,El procés d’execució dels projectes seleccionats durant l'any 2020 i 2021. L'acabament de l’execució de les propostes guanyadores no necessàriament coincidirà amb l’any del pressupost. Es podrà seguir el procés mitjançant la plataforma web decideix.esparreguera.cat.
